ecfp_distance,ngf_distance
0.91935486,0.9238061
0.969697,0.99974304
0.8648649,0.9452482
1.0,0.9999385
1.0,0.99409616
1.0,0.99924266
0.8888889,0.93692553
0.95238096,0.9267548
1.0,1.0
0.875,0.86988413
0.84615386,0.79946816
1.0,0.9999996
0.8181818,0.8292691
0.89361703,0.7670199
0.90697676,0.9624359
0.95238096,0.94649696
0.9,0.87061834
0.972973,1.0
0.9322034,0.94757956
0.92105263,0.8993796
0.8831169,0.83991
0.84615386,0.9507133
0.9090909,0.97512805
0.8679245,0.90311587
0.9230769,0.9196362
0.95652175,1.0
0.89285713,0.9186715
0.8181818,0.90000206
1.0,0.999594
0.84210527,0.80781305
1.0,0.9999898
0.98507464,0.97727275
0.8888889,0.9567383
0.87234044,0.93924546
0.8333333,0.7500403
0.9189189,0.9415614
0.975,0.9999306
0.9787234,0.98181623
0.8148148,0.9141033
0.9268293,0.93540365
0.95652175,0.9466205
0.9318182,1.0
0.8113208,0.93097824
0.7916667,0.86653817
0.890625,0.76302755
1.0,0.9767442
0.95652175,0.9473926
0.9056604,0.9552267
0.97727275,0.9465633
0.92,0.9243919
0.85714287,0.91265726
0.9459459,0.9767253
0.88709676,0.8770319
0.9,0.956191
0.9807692,0.9749706
0.88372093,0.8606319
0.8979592,0.8373451
0.89361703,0.86748207
0.9705882,1.0
0.9259259,0.9999833
0.925,0.95329165
0.875,0.9565127
1.0,0.9769778
0.735849,0.8012124
0.9722222,0.9999993
0.9130435,0.954612
0.9245283,0.98081344
0.96774197,0.9998136
0.9411765,0.9234588
0.974359,0.99999994
0.9818182,1.0
0.95454544,1.0
0.96,0.9999945
0.84000003,0.9006635
0.92,0.9827374
1.0,1.0
1.0,0.97726876
0.90384614,0.78704405
0.9183673,0.9613288
0.94545454,0.9726366
0.9574468,0.9801134
0.9090909,0.9230709
0.9583333,0.96446997
0.8979592,0.93347317
0.87234044,0.94279546
0.890625,0.93988144
0.9318182,0.928416
0.96428573,0.9501263
0.8604651,0.8130392
0.8965517,0.97297007
0.9512195,0.9545039
1.0,0.99990934
0.94,0.9632244
0.8923077,0.9621295
0.6818182,0.7619026
0.8913044,0.92618454
1.0,1.0
0.8378378,0.90583736
