ecfp_distance,ngf_distance
0.92424244,0.91206986
0.88709676,0.9109028
0.84615386,0.9310314
0.8965517,0.8481943
0.89285713,0.97297263
1.0,0.9836064
0.88135594,0.9372205
0.94736844,0.983628
0.8333333,0.8784693
0.9166667,0.9189201
0.98275864,0.8966221
0.53846157,0.7619048
0.6875,0.86928076
0.95555556,0.9407596
0.9,0.99311167
0.9444444,1.0
0.97619045,0.999845
0.92,0.9168148
0.9090909,0.91774666
0.9705882,0.94538033
1.0,0.9356507
0.8648649,0.834794
0.8863636,0.96177346
0.953125,0.9681161
0.8888889,0.97075194
0.9655172,0.94496113
0.8666667,0.94284254
0.98275864,0.9826993
0.9433962,0.8330766
0.94736844,0.9599999
0.92,0.96550727
0.92,0.99999785
0.8787879,0.82607985
0.9130435,0.9832985
0.962963,0.96663654
0.82608694,0.94302815
0.9230769,0.96874523
0.9464286,0.925789
0.95652175,0.9836169
0.93877554,0.96289253
0.7,0.8573892
0.95652175,0.96774197
0.7804878,0.7842591
0.963964,0.90630835
0.9655172,0.9983859
0.9574468,0.93971723
0.90789473,0.7954262
0.90697676,0.87487215
1.0,1.0
0.9756098,0.97062683
0.9148936,0.92748654
1.0,0.99999774
0.9245283,0.8800002
0.93333334,1.0
0.9375,1.0
0.95652175,0.9243856
0.9166667,0.94064146
0.85,0.95238096
0.972973,0.98296356
0.70967746,0.68572694
0.9583333,0.9803898
0.9459459,0.95238644
0.8857143,0.8801454
0.9,0.9446132
0.9142857,0.9777777
1.0,1.0
0.89285713,0.9348957
0.9,0.89505255
0.89361703,0.93086267
0.93939394,0.9444426
0.7692308,0.68937224
0.8301887,0.88154244
0.88235295,0.8700747
0.9230769,0.90408444
0.88235295,0.95493513
0.9130435,0.9381294
0.962963,0.97630554
0.9444444,0.872715
0.902439,0.93616515
0.9375,0.9427246
0.969697,0.949143
0.8888889,0.9414422
0.85,0.91769165
0.8787879,0.92288613
1.0,0.97957927
1.0,1.0
1.0,0.9678979
1.0,1.0
1.0,0.9767099
0.85,0.8786642
0.9090909,0.9998174
0.9655172,0.9999688
0.8490566,0.784887
0.89285713,0.9165844
0.9811321,0.99999964
1.0,1.0
1.0,0.9999383
0.94285715,0.9964359
0.9090909,0.9999998
1.0,0.9998069
1.0,1.0
0.8888889,0.93296176
0.962963,0.97267276
0.98039216,0.9725151
0.9285714,0.90924484
1.0,1.0
0.95,0.9999995
0.8857143,0.912561
0.962963,0.9656173
0.9736842,0.9525648
0.9230769,0.93609494
1.0,1.0
0.9736842,0.972973
0.8636364,0.9196554
0.9591837,0.9762034
0.9074074,0.87368834
1.0,1.0
0.9259259,0.99947613
0.9818182,0.95981944
0.8979592,0.89941984
0.9649123,0.9828277
0.88709676,0.9031832
0.90625,0.89868176
0.9302325,0.936207
0.9607843,0.9836065
0.9649123,0.9100825
0.88372093,0.9051856
0.9444444,0.8762414
0.9444444,0.95652175
0.95,0.9332017
0.7777778,0.68746555
0.85714287,0.93333334
0.974359,0.97973377
0.95238096,0.9132119
0.8815789,0.9119903
0.969697,0.99998605
1.0,0.96969616
1.0,0.9999992
0.96428573,0.97138375
1.0,0.95237434
0.82051283,0.85852146
0.8409091,0.8949764
0.9607843,0.99101096
0.875,0.92684895
0.9,0.9754015
0.92,0.972065
0.9056604,0.95715576
0.96428573,1.0
0.9655172,0.97934365
1.0,1.0
1.0,0.9999996
0.9302325,0.92712337
0.96428573,0.9677028
0.68571424,0.51850116
0.94545454,0.9655849
0.974359,0.8694595
0.88461536,0.94224995
0.8428571,0.81745255
0.828125,0.8949613
0.96666664,0.96771634
0.94,0.9545455
1.0,1.0
0.9041096,0.8949259
0.78846157,0.75087047
0.89041096,0.9247495
0.96,0.96893275
0.78947365,0.85898185
0.9767442,0.99998873
0.93650794,0.9804993
0.97959185,0.98824275
1.0,1.0
0.86956525,0.9714286
1.0,0.9687497
0.9285714,0.8657232
1.0,0.94104993
0.9318182,0.9485577
0.94,0.95006293
0.8965517,0.9437632
0.9285714,1.0
0.9756098,0.9265557
1.0,0.94879013
0.9411765,0.96968794
0.9722222,0.972973
0.95454544,0.999574
0.91803277,0.9014107
0.92105263,0.99999994
0.9583333,0.9999867
0.9714286,0.95996255
0.8923077,0.8292031
0.93846154,0.9275014
0.8333333,0.8123589
0.90625,0.91428304
0.9315069,0.8890044
0.8333333,0.875
0.8863636,0.82449496
0.96202534,0.9312814
0.94871795,0.99999964
0.8,0.96
0.8857143,0.9267366
0.9090909,0.9120415
0.96428573,0.982454
0.9411765,0.97378224
1.0,0.9999992
0.96153843,0.97107583
1.0,0.9999999
0.9512195,0.99830186
0.8196721,0.81918097
0.96153843,0.999927
1.0,0.97284967
0.96,0.952381
0.9310345,0.95180213
0.93333334,1.0
0.8863636,0.82555676
0.962963,0.9705573
0.8666667,0.89206207
0.925,0.9805523
0.9130435,0.99999994
0.94871795,0.9410582
0.8979592,0.8719435
0.9285714,1.0
0.9714286,0.9162024
0.86567163,0.8487651
0.902439,0.9445396
0.71428573,0.8421047
0.625,0.6896552
0.96,1.0
0.8,0.8000064
0.9183673,0.95087785
0.9122807,0.8826722
0.9655172,0.9846416
0.8974359,0.9999997
0.8965517,0.9192558
0.96153843,0.9999672
0.94871795,0.927392
0.8627451,0.9117639
0.71428573,1.0
0.962963,0.99999905
0.9,0.9392339
0.94285715,0.9035644
0.9354839,0.9245018
0.82857144,0.900993
0.68,0.7740658
0.962963,0.9449165
0.9130435,0.9999999
0.9268293,0.9536554
0.9142857,0.96427596
0.93333334,0.99993265
0.95,0.9999913
0.9354839,0.9583333
0.92156863,0.9323816
0.75,0.8205113
0.9230769,0.8537427
0.921875,0.91448295
0.9736842,0.96021396
1.0,1.0
0.7307692,0.8002701
1.0,0.9734884
0.962963,1.0
1.0,0.99979204
0.97727275,0.9398551
0.96428573,0.950858
0.9433962,0.9654118
0.90625,0.920385
0.91803277,0.92507523
0.85365856,0.83018863
0.95652175,0.9262209
0.9423077,0.94730854
0.85714287,0.90327704
1.0,1.0
0.8857143,0.91552293
0.96,0.9028249
0.9245283,0.9696851
1.0,1.0
0.9791667,0.99999946
0.9056604,0.89543355
0.8888889,0.87258714
0.96153843,0.96875
0.7407408,0.78048795
0.8433735,0.85160357
0.95384616,0.88152516
1.0,0.93933874
0.9722222,0.9998814
0.9032258,0.8648563
0.9433962,0.91362387
0.9183673,0.80637056
0.8666667,0.79933125
0.82857144,0.8851192
0.962963,0.96039724
0.94736844,0.98014027
0.9411765,0.93619937
0.94,0.9089359
0.902439,0.9666512
0.92424244,0.96968985
0.85,0.8555927
1.0,1.0
0.92,0.85011965
0.7307692,0.8142878
0.9375,0.96969694
1.0,0.977276
0.86,0.9146395
0.9375,1.0
0.9,0.8146389
0.7407408,0.837121
0.8372093,0.8457961
0.9433962,0.9615329
0.9142857,0.89762837
0.8888889,0.8124639
1.0,0.99950504
1.0,0.9999852
1.0,0.9999976
1.0,0.9958578
0.9655172,0.98528534
0.87096775,0.7938286
0.9459459,0.95
0.974359,0.9729758
0.8181818,0.76889765
