ecfp_distance,ngf_distance
0.91935486,0.90183455
0.969697,1.0
0.8648649,0.91283596
1.0,0.9589437
1.0,0.93036556
1.0,1.0
0.8888889,0.94033873
0.95238096,0.9188923
1.0,1.0
0.875,0.8312837
0.84615386,0.85
1.0,0.9812425
0.8181818,0.8481517
0.89361703,0.816903
0.90697676,0.9056598
0.95238096,0.97034144
0.9,0.86160636
0.972973,1.0
0.9322034,0.94700265
0.92105263,0.9212416
0.8831169,0.8260951
0.84615386,0.9
0.9090909,0.9756098
0.8679245,0.9217442
0.9230769,0.8879432
0.95652175,1.0
0.89285713,0.91407984
0.8181818,0.9
1.0,0.95999897
0.84210527,0.8767123
1.0,1.0
0.98507464,0.98876405
0.8888889,0.92889965
0.87234044,0.9611697
0.8333333,0.7096746
0.9189189,0.8823637
0.975,0.98124254
0.9787234,0.962963
0.8148148,0.88052136
0.9268293,0.9756097
0.95652175,0.9717639
0.9318182,1.0
0.8113208,0.92086494
0.7916667,0.9029801
0.890625,0.7865773
1.0,1.0
0.95652175,0.9998978
0.9056604,0.972973
0.97727275,0.96426326
0.92,0.95739347
0.85714287,0.8947368
0.9459459,0.97926986
0.88709676,0.8752004
0.9,0.88009703
0.9807692,0.938888
0.88372093,0.8463794
0.8979592,0.85050964
0.89361703,0.823394
0.9705882,1.0
0.9259259,1.0
0.925,0.9565188
0.875,0.95652175
1.0,1.0
0.735849,0.79060245
0.9722222,1.0
0.9130435,0.93939394
0.9245283,0.9056939
0.96774197,1.0
0.9411765,0.94539976
0.974359,0.9999999
0.9818182,1.0
0.95454544,1.0
0.96,0.99990696
0.84000003,0.9134729
0.92,0.9830506
1.0,1.0
1.0,0.89475965
0.90384614,0.86383754
0.9183673,0.9015511
0.94545454,0.9166666
0.9574468,0.9923791
0.9090909,0.9470111
0.9583333,0.96122324
0.8979592,0.9361689
0.87234044,0.96268606
0.890625,0.86216974
0.9318182,0.9655172
0.96428573,0.9878826
0.8604651,0.8148199
0.8965517,0.972973
0.9512195,1.0
1.0,1.0
0.94,0.91803277
0.8923077,0.9163342
0.6818182,0.7567027
0.8913044,0.9796103
1.0,1.0
0.8378378,0.8636364
0.94736844,0.99999917
0.88135594,0.90476024
0.9459459,0.94736844
0.9714286,1.0
0.8064516,0.8095236
0.9285714,0.9226998
1.0,1.0
0.8717949,0.8651961
0.8139535,0.862343
0.93939394,1.0
0.8888889,0.97959185
0.9722222,0.99995506
0.8717949,0.9505476
1.0,0.9999999
0.96153843,0.99997264
0.96428573,0.88135535
0.7586207,0.84972817
0.9230769,0.9756097
0.93333334,0.99904084
0.94827586,0.9841269
0.84810126,0.82634324
0.89285713,0.9203583
0.7083334,0.73721945
0.9722222,0.9445544
1.0,0.9636961
0.96428573,0.9999997
1.0,0.978236
0.8,0.79543954
0.8181818,0.81481475
0.95652175,1.0
0.8947368,0.97959185
0.9285714,0.99999976
0.8787879,0.91969955
0.9019608,0.9230769
0.88372093,0.68166757
0.88095236,0.848341
0.8717949,0.96665424
0.8787879,0.79084545
1.0,0.95472676
0.7837838,0.7884271
0.78571427,0.66357934
0.877551,0.879585
0.7619048,0.83292043
0.96875,0.99999875
0.9746835,0.9282682
1.0,1.0
0.95348835,0.9362588
0.8780488,0.954876
0.9375,0.9042268
0.953125,0.98924553
1.0,1.0
0.71428573,0.6539763
0.96666664,1.0
0.88235295,0.8169932
0.9310345,1.0
0.7647059,0.8333333
0.91803277,0.9482494
0.9777778,0.9783641
0.7777778,0.8330763
0.96666664,0.9888013
0.984127,0.9855073
1.0,1.0
0.8095238,0.8648649
0.9230769,0.99999994
0.82608694,0.8125
0.9583333,1.0
1.0,1.0
0.9285714,0.97619045
0.9230769,0.93655396
1.0,1.0
0.94736844,0.956525
0.95652175,0.96
0.8888889,0.89007246
0.89552236,0.92933005
0.8717949,0.87085044
1.0,1.0
0.9411765,0.8404778
0.9756098,1.0
1.0,0.97513634
0.95384616,0.9056691
0.93333334,0.8623667
0.85714287,0.81549084
1.0,1.0
1.0,1.0
0.95,1.0
0.96774197,0.969697
0.9032258,0.9035569
0.88235295,0.7777778
0.91803277,0.9273617
0.9558824,0.98701495
0.9736842,1.0
0.93877554,0.98245615
0.8787879,0.81428075
1.0,0.9247218
0.84126985,0.8692218
0.94736844,0.96044374
0.8148148,0.644069
0.93333334,0.9523835
0.8666667,1.0
1.0,1.0
0.94545454,0.98500365
0.98,1.0
1.0,0.9387756
0.96875,0.9714286
0.94871795,1.0
0.93939394,1.0
0.983871,0.9854898
0.89361703,0.8462494
1.0,0.974359
1.0,0.9390732
0.85714287,0.7880671
0.82608694,0.8888079
0.9230769,1.0
0.95238096,1.0
1.0,0.9500757
0.97727275,0.98039216
0.9142857,0.8710627
0.962963,1.0
0.9230769,0.97140765
0.9245283,0.96202534
0.96875,0.9714285
1.0,0.98507464
0.96,0.96153843
0.8888889,0.85971504
0.8965517,0.93333346
0.9285714,0.96551716
0.9111111,0.98234916
0.95454544,1.0
0.92105263,0.96510386
0.84375,0.8518571
0.9189189,0.8750002
0.9583333,0.9848143
0.97959185,0.9990562
0.9117647,0.97670954
0.9655172,0.96774197
0.886076,0.84941053
0.95652175,1.0
0.98630136,0.98876375
0.84000003,0.92307687
0.886076,0.9004451
0.88235295,0.88890404
0.9622642,0.9788113
1.0,0.9616775
0.95652175,1.0
0.95454544,0.99881446
0.82142854,0.91895854
0.974359,0.95887715
0.9411765,0.9715646
1.0,1.0
0.9375,1.0
1.0,0.9444443
0.969697,0.974359
1.0,1.0
0.85714287,0.95652175
0.89285713,0.96800894
1.0,1.0
0.9259259,0.99999905
0.88235295,0.88054484
0.9148936,0.89944845
1.0,1.0
0.825,0.7906519
0.8666667,0.81518996
0.8367347,0.88263226
0.8909091,0.9337211
0.962963,0.986664
0.77272725,0.7077651
0.68421054,0.8292683
0.969697,1.0
0.9019608,0.8962293
0.6896552,0.7693953
0.96825397,0.9354658
0.95454544,0.99999994
0.86206895,0.86793005
0.9090909,0.9887573
0.79310346,0.689677
0.91525424,0.8799331
1.0,0.9767774
0.8666667,0.9411765
0.5294118,0.73170733
1.0,0.9999978
0.9047619,0.95833325
1.0,0.9999723
0.8076923,0.8999159
1.0,1.0
0.88461536,0.9756098
0.96363634,0.94016457
1.0,0.9999992
0.94871795,0.974359
0.90384614,0.8694629
0.9411765,0.9787234
0.8604651,0.72695357
0.8979592,0.79998773
0.94736844,1.0
0.88235295,0.93877554
0.9777778,0.9818594
0.68421054,0.71428573
1.0,1.0
1.0,0.98550725
0.8275862,0.78595585
0.9354839,1.0
0.8965517,0.9850743
0.8275862,0.9767442
1.0,1.0
0.6111111,0.5580568
0.9830508,0.9846154
0.8867924,0.88135594
0.9574468,0.98018926
0.7307692,0.77418715
0.969697,0.9565213
0.9777778,1.0
0.97727275,1.0
0.96,0.972973
0.98039216,0.99999
0.9019608,0.8013083
0.7407408,0.7916667
0.95238096,1.0
0.8333333,0.8235294
0.9705882,0.8516964
0.8863636,0.84728026
1.0,1.0
0.9777778,1.0
1.0,0.97959185
0.93333334,0.96666664
0.9183673,0.85728496
0.90384614,0.987013
0.94736844,1.0
0.84210527,0.8440248
0.9807692,0.9824538
0.96666664,0.95242596
0.8490566,0.81632864
0.877551,0.73517436
1.0,1.0
0.7619048,0.8301026
0.86567163,0.84236157
0.9361702,0.79333216
1.0,0.9497697
0.8863636,0.7880545
0.9583333,0.9787233
0.94736844,0.97872645
0.92105263,0.84999096
0.96666664,0.9767105
1.0,0.9714286
0.8684211,0.9009874
1.0,1.0
1.0,1.0
1.0,0.9837354
0.9722222,0.98334616
0.9318182,0.9767442
0.8484849,0.972973
0.96,0.9984617
0.93877554,0.96774197
1.0,0.9833445
0.974359,0.9756376
0.95454544,1.0
1.0,0.96428555
1.0,1.0
0.92105263,0.96927655
0.877551,0.85187554
0.9354839,0.9149736
0.8703704,0.89329267
0.96153843,1.0
0.8958333,0.8449682
1.0,1.0
1.0,1.0
0.9113924,0.91587746
0.28571427,0.771878
1.0,0.995987
0.75,0.86956525
1.0,1.0
1.0,0.96
1.0,1.0
0.9310345,1.0
0.9589041,0.9544286
0.90697676,0.93013746
0.9655172,0.9655172
0.9166667,1.0
0.8333333,0.7994975
0.9322034,0.95237684
0.875,0.8253969
0.9705882,0.99999994
0.96666664,0.9655172
0.96428573,0.98406
0.82857144,0.8545687
0.96875,1.0
0.91566265,0.91426605
0.9166667,0.96818507
0.88709676,0.93553233
0.9714286,0.97853804
0.8679245,0.8331189
0.9019608,0.88091177
0.9574468,0.9434864
0.95555556,0.9794782
0.9574468,1.0
0.8604651,0.7641543
0.7307692,0.7777778
1.0,1.0
0.9361702,0.97142404
1.0,1.0
0.73913044,0.8979593
1.0,0.9714286
0.94285715,1.0
0.9032258,0.9211386
1.0,1.0
0.8448276,0.7141477
0.9787234,0.9788594
0.75,0.9117266
0.86206895,0.9144408
0.95522386,0.98284125
0.5294118,0.8163265
0.9714286,1.0
0.9722222,1.0
0.9090909,0.84710324
0.8333333,0.82353234
0.9,0.8085657
0.96428573,1.0
0.9,0.8666658
0.85714287,0.9094371
0.8076923,0.7090008
0.9574468,0.9620257
0.9,0.93331414
0.86206895,0.9230769
0.97619045,0.9317543
0.9130435,0.85999525
0.9285714,0.9780885
0.9117647,0.89685535
0.96,1.0
0.9714286,0.969697
0.80851066,0.8341118
0.9818182,0.9836066
0.8333333,0.7597881
0.9310345,0.9090924
0.9583333,1.0
0.9830508,0.99996394
0.9,0.89194036
1.0,0.96969706
0.75,0.7415354
0.84000003,0.98100215
0.9655172,0.9655172
0.7804878,0.8049016
1.0,0.97181726
0.877551,0.85775995
0.6666666,0.6889049
0.8550725,0.8291479
0.9,0.87815267
1.0,1.0
0.39999998,0.56174505
0.8684211,0.86486137
0.7619048,0.8989482
0.80357146,0.83363855
0.75,0.84210527
0.6666666,0.77478665
0.65,0.8003077
0.9791667,0.9463448
1.0,0.9994039
0.65789473,0.76409703
0.8518518,0.9366882
0.962963,0.99999994
0.9714286,1.0
0.9,0.969697
0.9230769,0.8715488
0.9142857,0.9756098
0.9166667,0.98412514
1.0,1.0
0.9090909,0.90521324
0.95238096,0.90909356
0.85714287,0.8461566
0.9318182,0.979222
0.95,1.0
0.9375,1.0
0.8974359,0.90909106
0.9166667,1.0
0.8541667,0.91803294
1.0,1.0
0.85,0.90015805
0.98275864,0.96889025
0.96,0.96666664
0.9259259,0.96025836
0.93333334,0.86453015
0.94871795,0.98039067
0.9189189,0.94313836
1.0,1.0
0.85915494,0.80956745
0.9318182,0.9599921
1.0,0.9995877
0.9230769,0.91999185
0.98039216,1.0
0.9411765,1.0
0.88,0.90323144
0.96774197,0.98229694
0.8979592,1.0
0.7777778,0.98203737
0.98333335,0.9882353
1.0,0.99819964
0.969697,0.99997354
0.77192986,0.7877233
0.98039216,1.0
0.9032258,0.88357204
