ecfp_distance,ngf_distance
0.90178573,0.7586207
0.8715596,0.66887593
0.8848921,0.748538
0.9212598,0.7317073
0.9,0.65979385
0.9237288,0.62
0.8901099,0.5432099
0.6831683,0.5283019
0.79710144,0.6153852
0.8811881,0.6718416
0.4516129,0.45097774
0.87628865,0.6391753
0.82828283,0.625
0.84347826,0.5825268
0.8469388,0.673913
0.6576576,0.38596493
0.78787875,0.5773196
0.85593224,0.68468523
0.91071427,0.68627465
0.9059829,0.64646465
0.84761906,0.6382979
0.42682928,0.3373494
0.7570093,0.5346559
0.920354,0.66071427
0.69911504,0.4580158
0.39999998,0.2647059
0.8018868,0.61999977
0.8021978,0.47619045
0.8888889,0.6666666
0.85833335,0.66666883
0.84347826,0.5490196
0.6826923,0.48275864
0.8913044,0.79518074
0.8596491,0.5681818
0.72477067,0.5528455
0.3943662,0.23188406
0.8596491,0.6712258
0.8659794,0.6117626
0.82300884,0.5361085
0.8956522,0.59615386
0.8666667,0.65168536
0.9166667,0.66019416
0.9090909,0.6041666
0.8139535,0.6315789
0.7647059,0.575
0.85858583,0.6222222
0.88617885,0.7819549
0.88990825,0.5623493
0.86021507,0.6153459
0.96,0.6557377
0.69642854,0.49090666
0.78313255,0.6419753
0.83,0.5432099
0.7734375,0.64566743
0.88793105,0.7027027
0.8888889,0.6287792
0.84126985,0.68292683
0.8018018,0.64220184
0.89344263,0.6608696
0.84466016,0.5869565
0.9153846,0.5840709
0.8318584,0.5192498
0.84210527,0.6136364
0.35789472,0.28888887
0.7073171,0.34210527
0.89285713,0.7928096
0.8956522,0.5979408
0.86585367,0.7948718
0.9032258,0.77894735
0.7631579,0.5277778
0.82905984,0.64761734
0.8818182,0.7501468
0.88073397,0.6458334
0.88617885,0.6727252
0.86178863,0.64026606
0.6231884,0.6329113
0.814433,0.5838492
0.73214287,0.57352924
0.8818182,0.66019404
0.86021507,0.4507044
0.83064514,0.51869506
0.88372093,0.53521127
0.8938053,0.6570506
0.8942308,0.61702126
0.8244275,0.47407115
0.6595745,0.5490177
0.67368424,0.47727132
0.72477067,0.5691078
0.87068963,0.56565654
0.91735536,0.71019053
0.6666666,0.5561498
0.8854962,0.69549966
0.6419753,0.53658533
0.546875,0.36065573
0.8956522,0.6551724
0.6097561,0.4390244
0.8738739,0.52873564
0.89830506,0.64646465
0.8648649,0.6699499
0.8613139,0.64
0.8828829,0.6486486
0.92105263,0.5
0.88659793,0.5813954
0.8677686,0.68487906
0.86419755,0.5945946
0.88,0.55555576
0.39130437,0.3333333
0.90082645,0.5794393
0.8076923,0.5964891
0.8989899,0.62221956
0.7912088,0.6346382
0.872549,0.63636374
0.8586956,0.5952381
0.91071427,0.7096131
0.61290324,0.6111111
0.9223301,0.5116281
0.86399996,0.64220184
0.8869565,0.5607476
0.7850467,0.6590601
0.53535354,0.4952379
0.6952381,0.55357146
0.90839696,0.7239114
0.76666665,0.47706062
0.8586956,0.7529412
0.8888889,0.52272725
0.9090909,0.627907
0.8030303,0.5404535
0.7752809,0.6896552
0.91150445,0.516125
0.6821705,0.44247788
0.8608696,0.5
0.92727274,0.68686867
0.9366197,0.8331486
0.9101124,0.7216495
0.84615386,0.6603774
0.8703704,0.664508
0.8773585,0.67368424
0.8811881,0.6288906
0.86567163,0.74128175
0.7692308,0.5898849
0.9292035,0.7570272
0.8333333,0.6227713
0.31666666,0.34285712
0.9140625,0.6363852
0.88461536,0.6436783
0.8989899,0.7272727
0.9368421,0.80001825
0.95604396,0.7916667
0.8971963,0.70103097
0.78947365,0.53210986
0.775,0.6097561
0.83064514,0.64957476
0.8854167,0.56481814
0.5280899,0.46938777
0.815534,0.6562944
0.8918919,0.6060606
0.92783505,0.6888889
0.8487395,0.56604016
0.8064516,0.50943047
0.7714286,0.59375
0.84615386,0.71358496
0.9026549,0.6322797
0.76404494,0.56410253
0.7373737,0.58823526
0.9,0.77894735
0.84615386,0.6591088
0.8943089,0.6722689
0.892562,0.6037736
0.7350427,0.61904746
0.90217394,0.7252747
0.4814815,0.3076923
0.8981482,0.6268193
0.86315787,0.57471263
0.7428571,0.58823526
0.88297874,0.5882293
0.77227724,0.5858584
0.8640777,0.58695936
0.8611111,0.55172414
0.9026549,0.7446809
0.8543689,0.678261
0.875,0.605722
0.89320385,0.67368424
0.8653846,0.6896552
0.89215684,0.627907
0.8604651,0.601626
0.8292683,0.54794556
0.8333333,0.62650603
0.88349515,0.5930114
0.5631068,0.46666664
0.8265306,0.6213556
0.8488372,0.63157976
0.91071427,0.63718915
0.84466016,0.6666666
0.8125,0.6315619
0.48275864,0.53465533
0.8105263,0.52272725
0.8598131,0.53932583
0.8712871,0.57777774
0.8275862,0.6285143
0.9032258,0.53999996
0.85858583,0.60676885
0.84375,0.556962
0.90510947,0.72727287
0.92134833,0.66666937
0.8333333,0.6481482
0.94392526,0.80733943
0.8229167,0.5813954
0.87,0.6217909
0.86607146,0.66451555
0.8333333,0.5771812
0.8965517,0.6140351
0.8938053,0.5769231
0.8584071,0.699026
0.88617885,0.57489896
0.8606557,0.72868216
0.9223301,0.6019417
0.9206349,0.6019417
0.8347826,0.57447076
0.9142857,0.6722164
0.875,0.614035
0.73949575,0.49541283
0.8785047,0.6728972
0.9019608,0.77169204
0.5858586,0.44
0.8148148,0.68493164
0.8877551,0.56410253
0.9306931,0.65168536
0.9186047,0.7586208
0.9464286,0.8930818
0.8362069,0.58823764
0.8198198,0.65420556
0.73275864,0.55172414
0.86725664,0.56568193
0.7361111,0.58461535
0.7826087,0.5882354
0.827957,0.44736844
0.89285713,0.6306306
0.95412844,0.79646015
0.9090909,0.65908825
0.88461536,0.71910113
0.88,0.6000271
0.8831169,0.65753424
0.83908045,0.48000002
0.7647059,0.5454545
0.86,0.6065907
0.814433,0.5976982
0.875,0.70967746
0.8125,0.53658503
0.88785046,0.599345
0.90588236,0.6666666
0.84210527,0.7206616
0.875,0.7407408
0.8110236,0.5522393
0.8117647,0.5092603
0.8518518,0.6796123
0.9150943,0.7096771
0.8965517,0.57407403
0.8969072,0.5974026
0.86178863,0.5981308
0.72727275,0.49050194
0.9122807,0.67889905
0.7117117,0.540022
0.9787234,0.8703703
0.8659794,0.6938776
0.8715596,0.7433629
0.8898305,0.6919318
0.84347826,0.72413796
0.46153843,0.32098764
0.70909095,0.40384614
0.9126214,0.7708333
0.84444445,0.57142854
0.7307692,0.6666968
0.8811881,0.6595745
0.93203884,0.76785713
0.8113208,0.6880001
0.8677686,0.5981308
0.73636365,0.48387098
0.53125,0.35714287
0.7916667,0.6021507
0.875,0.7567742
0.93636364,0.63716817
0.88617885,0.5773196
0.6530612,0.54716736
0.8608696,0.596154
0.8974359,0.63793105
0.73949575,0.45000058
0.82905984,0.68702114
0.8688525,0.73758864
0.84615386,0.556962
0.8627451,0.6451613
0.9326923,0.65420556
0.51546395,0.46153843
0.73626375,0.5384617
0.9047619,0.65864086
0.7916667,0.6451613
0.8787879,0.77669907
0.9137931,0.68687105
0.8738739,0.7072942
0.9,0.76
0.9357798,0.80701756
0.87826085,0.6818181
0.8739496,0.6168224
0.81896555,0.59574467
0.87096775,0.6521739
0.79310346,0.5063291
0.8869565,0.6138614
0.90163934,0.50884295
0.9126214,0.6938775
0.89830506,0.65791744
0.8640777,0.5869563
0.87628865,0.65240026
0.8703704,0.6122449
0.90217394,0.6666666
0.75652176,0.6666647
0.9076923,0.67857575
0.8854167,0.7083334
0.90217394,0.6511628
0.9255319,0.8172051
0.8701299,0.71052635
0.82978725,0.5813954
0.877193,0.57142854
0.85714287,0.5681818
0.7768595,0.49300724
0.872,0.6767234
0.8387097,0.73333585
0.9,0.75
0.91818184,0.6568138
0.75641024,0.65853655
0.8761905,0.6999999
0.8974359,0.62626266
0.84466016,0.6531745
0.9059829,0.68518203
0.7961165,0.6706959
0.92523366,0.7207207
0.8210526,0.5490753
0.82051283,0.7428571
0.9101124,0.64
0.7910448,0.5151516
0.92436975,0.6851852
0.7777778,0.5866668
0.90983605,0.7304348
0.928,0.84146345
0.8409091,0.63841784
0.91150445,0.7239114
0.88073397,0.6285715
0.8785047,0.5747374
0.85714287,0.7031268
0.8952381,0.71028036
0.86,0.60465115
0.8717949,0.6153846
0.86734694,0.65979385
0.8275862,0.6976744
0.73949575,0.5043478
0.73214287,0.52542156
0.74666667,0.5142858
0.89215684,0.6666666
0.8796296,0.6458334
0.8548387,0.7301587
0.3908046,0.37623763
0.8888889,0.67190754
0.8636364,0.69158876
0.8703704,0.5977012
0.8913044,0.53164554
0.70297027,0.6017699
0.7407408,0.59999764
0.92523366,0.8909091
0.67368424,0.58181596
0.88349515,0.7021277
0.89908254,0.5940596
0.47619045,0.40909094
0.8130841,0.67889905
0.8770492,0.59615386
0.92436975,0.7559055
0.7619048,0.5046729
0.7058823,0.44261956
0.93636364,0.827785
0.875,0.6590483
0.7875,0.67567563
0.8469388,0.5063291
0.8699187,0.55555665
0.86956525,0.65
0.875,0.7083333
0.87288135,0.59649336
0.66326535,0.5504564
0.8141593,0.60162586
0.5,0.25396824
0.89285713,0.6862745
0.8962264,0.5813954
0.9099099,0.5263158
0.90625,0.57544804
0.908046,0.6666666
0.7710843,0.65
0.8785047,0.65420556
0.8989899,0.6222222
0.4851485,0.36036038
0.8636364,0.55172414
0.86725664,0.5849087
0.8785047,0.48840266
0.8137255,0.6222222
0.7094017,0.45614034
0.877551,0.58426964
0.85714287,0.5600026
0.85294116,0.66019416
0.7238095,0.5794414
0.9310345,0.7326733
0.8518518,0.6425581
0.67592597,0.4864865
0.8,0.5473684
0.8333333,0.71910095
0.7890625,0.47457635
0.8396226,0.74766356
0.83035713,0.6115701
0.80582523,0.5600045
0.85087717,0.72999513
0.6666666,0.45714283
0.75641024,0.7012987
0.8942308,0.7070707
0.8828829,0.63265306
0.38271606,0.37362635
0.8962264,0.7058823
0.875,0.6486486
0.8648649,0.70909095
0.8043478,0.52380955
0.87628865,0.6315789
0.8888889,0.67142856
0.8666667,0.6048546
0.8655462,0.5849056
0.7777778,0.509434
0.9047619,0.65384614
0.7717391,0.6451613
0.86,0.5333333
0.8586956,0.4864865
0.8469388,0.6065908
0.30158728,0.3174603
0.85294116,0.77064234
0.9009901,0.68518513
0.9137931,0.72727275
0.9238095,0.7173913
0.8738739,0.66019416
0.8888889,0.6956522
0.875,0.80519557
0.93636364,0.6382979
0.8938053,0.6274545
0.9357798,0.85714287
0.7037037,0.56
0.9019608,0.67318344
0.9,0.62921345
0.8795181,0.6176824
0.86315787,0.68817204
0.69306934,0.5794369
0.7777778,0.66666675
0.71428573,0.54700625
0.8989899,0.70103097
0.76,0.5217397
0.8791209,0.6590909
0.91588783,0.59259033
0.8839286,0.5714312
0.85714287,0.6511628
0.7432432,0.6111111
0.83486235,0.625
0.87931037,0.56
0.8512397,0.610168
0.8761905,0.7070707
0.88235295,0.73170733
0.84466016,0.71428573
0.959596,0.8679245
0.8737864,0.73447907
0.9090909,0.7873535
0.877551,0.68884623
0.92523366,0.6060606
0.78947365,0.54761904
0.6944444,0.57626957
0.8181818,0.5806454
0.9347826,0.7073171
0.9722222,0.78181815
0.9148936,0.625
0.86915886,0.69026566
0.8951613,0.6874404
0.9189189,0.62962633
0.8469388,0.6373626
0.88495576,0.6846847
0.92523366,0.6730771
0.8942308,0.5869563
0.87969923,0.7592075
0.81,0.6281209
0.9099099,0.6730769
0.872549,0.7216495
0.95789474,0.6987952
0.6236559,0.48421055
0.892562,0.734375
0.7373737,0.5263157
0.8318584,0.6577667
0.86956525,0.57831323
0.8818182,0.5652174
0.6885246,0.5396825
0.8974359,0.65619314
0.9099099,0.79027313
0.8478261,0.5333335
0.8876405,0.68421054
0.9186047,0.6753247
0.87341774,0.6315789
0.9174312,0.71578944
0.8738739,0.68571424
0.8275862,0.65
0.91588783,0.7070707
0.9130435,0.71428573
0.9191919,0.6896552
0.94520545,0.86956525
0.9217391,0.67857146
0.8333333,0.55172414
0.9230769,0.8275862
0.7236842,0.53521127
0.7790698,0.5103215
0.88617885,0.77497417
0.8604651,0.6140319
0.8666667,0.61176467
0.6923077,0.40000266
0.7474748,0.7017544
0.8907563,0.57943934
0.8487395,0.6954055
0.6396396,0.43137443
0.892562,0.5490196
0.87068963,0.6168224
0.85321105,0.5833334
0.75,0.563641
0.69473684,0.5794368
0.86,0.74
0.8877551,0.6052631
0.86956525,0.42847645
0.8611111,0.5609392
0.86238533,0.64
0.8373984,0.5964912
0.90163934,0.7153286
0.8396226,0.5274755
0.8135593,0.53571427
0.8888889,0.71578944
0.7160494,0.5555556
0.8888889,0.673913
0.8488372,0.7906977
0.8645833,0.5493321
0.8359375,0.53571427
0.7676768,0.6999868
0.9459459,0.7941176
0.8901099,0.6216216
0.928,0.7751926
0.858156,0.56496954
0.8938053,0.5833334
0.74666667,0.6753247
0.8679245,0.6666666
0.8910891,0.7391328
0.79831934,0.56626034
0.9166667,0.75438595
0.86868685,0.66019416
0.9137931,0.79012346
0.8907563,0.592595
0.86206895,0.695343
0.515625,0.39999998
0.9285714,0.71428573
0.875,0.7522936
0.88235295,0.702703
0.9189189,0.6170211
0.8923077,0.86419755
0.90677965,0.7586212
0.7468355,0.588235
0.70085466,0.59322035
0.7432432,0.68571424
0.8521739,0.57145226
0.9245283,0.65263176
0.7777778,0.5333353
0.9160305,0.5797981
0.8016529,0.49056602
0.90654206,0.63043475
0.8487395,0.5274725
0.8598131,0.6599998
0.8969072,0.7209327
0.9009009,0.71844673
0.925,0.6712258
0.88785046,0.6530612
0.9255319,0.8041237
0.9159664,0.6194692
0.7943925,0.55670106
0.925,0.6798893
0.789916,0.5714309
0.7407408,0.5893359
0.8951613,0.8030303
0.88188976,0.56363636
0.62068963,0.53125095
0.75641024,0.58227813
0.75,0.45360827
0.8833333,0.51851845
0.7692308,0.45614034
0.91525424,0.6434783
0.91071427,0.74545455
0.88990825,0.6304412
0.9099099,0.6666666
0.71428573,0.5964911
0.83,0.65979385
0.29577464,0.27692306
0.8817204,0.5535513
0.7844828,0.57479656
0.88785046,0.6530612
0.7282609,0.5432099
0.8139535,0.5719863
0.84033614,0.6584134
0.77272725,0.6024096
0.8715596,0.7326733
0.90677965,0.63865554
0.85384613,0.6371891
0.87234044,0.65979385
0.832,0.59144706
0.78899086,0.64912283
0.8039216,0.50552285
0.8,0.5814642
0.8504673,0.6078669
0.88495576,0.64705884
0.97894734,0.8828829
0.78651685,0.55555654
0.9090909,0.6534654
0.8137255,0.61855924
0.8965517,0.575
0.93043476,0.7719298
0.88659793,0.61176467
0.8518518,0.7254908
0.924812,0.8457143
0.8062016,0.57575756
0.8739496,0.48888916
0.9137931,0.6285716
0.7586207,0.5892834
0.80582523,0.6545454
0.9059829,0.616845
0.8541667,0.6666666
0.68571424,0.4680851
0.86607146,0.64705884
0.84158415,0.74782604
0.8020833,0.55172414
0.8586956,0.64285713
0.8833333,0.49484563
0.73626375,0.6666666
0.87777776,0.6329114
0.8909091,0.666686
0.87931037,0.6785716
0.8715596,0.6386554
0.75,0.6461538
0.84210527,0.6236584
0.85714287,0.6666666
0.2903226,0.18604654
0.9166667,0.6436782
0.7755102,0.71875
0.8828829,0.77080876
0.8636364,0.80459833
0.902439,0.7027027
0.8586956,0.6506024
0.80459774,0.6666666
0.9191919,0.7387387
0.91089106,0.6888889
0.8648649,0.7142856
0.83908045,0.61176467
0.86,0.575
0.6944444,0.65822756
0.88235295,0.68752134
0.82828283,0.7245729
0.96842104,0.8598131
0.9174312,0.6285714
0.91346157,0.7659575
0.7619048,0.57657635
0.8867924,0.64823484
0.7619048,0.62711865
0.877551,0.7676768
0.91463417,0.48331165
0.8910891,0.7256637
0.8651686,0.575
0.4040404,0.24444443
0.8897638,0.67857146
0.76,0.56565654
0.72727275,0.5300174
0.86915886,0.62068963
0.9117647,0.5813954
0.86734694,0.48330605
0.7073171,0.575
0.8842975,0.76635313
0.83,0.70796514
0.24615383,0.24242425
0.7662338,0.6197183
0.9130435,0.5405406
0.5794393,0.45044702
0.90434784,0.68852454
0.9298246,0.76033056
0.5555556,0.3125
0.8072289,0.6888889
0.8135593,0.545015
0.8989899,0.5210776
0.84375,0.6
0.8933333,0.5945946
0.6590909,0.37333333
0.6893204,0.41237116
0.872549,0.69473684
0.3888889,0.3448276
0.8016529,0.56393546
0.8811881,0.6593406
0.8467742,0.5420512
0.7647059,0.49275362
0.859375,0.52
0.6847826,0.48979592
0.66019416,0.4583333
0.8347826,0.5454544
0.8938053,0.62934005
0.88785046,0.67346954
0.877193,0.69306934
0.8679245,0.67368424
0.88785046,0.6530614
0.75,0.61764705
0.8923077,0.5360861
0.8416667,0.6666666
0.8114754,0.5
0.87826085,0.5950413
0.85263157,0.73337305
0.8518518,0.6391753
0.8962264,0.6382979
0.66176474,0.59740305
0.8968254,0.6117285
0.8867924,0.63461554
0.79850745,0.56376064
0.9217391,0.6428571
0.7840909,0.54321
0.50666666,0.41463417
0.9230769,0.70476186
0.3173077,0.27585953
0.91964287,0.6181818
0.8611111,0.625
0.8764045,0.7073171
0.8604651,0.7058823
0.8068182,0.5714283
0.9104478,0.7500001
0.9411765,0.84615386
0.92727274,0.6597902
0.6704545,0.53999996
0.8947368,0.53488386
0.77272725,0.64220184
0.86170214,0.6666666
0.68333334,0.6619557
0.8787879,0.6458334
0.8659794,0.6666666
0.88,0.61702126
0.9150943,0.81578946
0.85714287,0.5800067
0.8108108,0.64935064
0.78070176,0.6434762
0.89166665,0.6896552
0.875,0.61904764
0.84615386,0.6363636
0.7881356,0.5
0.88461536,0.6391753
0.8521739,0.6086956
0.7304348,0.5514771
0.95384616,0.64912283
0.9174312,0.6326519
0.82828283,0.53661644
0.94736844,0.691589
0.64788735,0.45454544
0.484375,0.3020903
0.7356322,0.48101264
0.7222222,0.5116279
0.8803419,0.6728972
0.9,0.6896553
0.8604651,0.63157475
0.8372093,0.6027397
0.8909091,0.6138614
0.90625,0.71287125
0.9117647,0.70708776
0.8712871,0.63414633
0.93495935,0.7207207
0.8965517,0.6796117
0.6944444,0.61538476
0.9285714,0.6534654
0.8974359,0.63366336
0.8518518,0.74074256
0.91150445,0.635514
0.8770492,0.5504587
0.8956522,0.6063137
0.8318584,0.58000004
0.86915886,0.7213737
0.875,0.63114583
0.8117647,0.6666666
0.8796296,0.58000004
0.8503937,0.7517753
0.89855075,0.7647059
0.8969072,0.6373626
0.9186992,0.5882342
